Hero,Rank,Win Rate,Equipment,Equipment Win Rate,Counters,Synergies
c1095,Ranking: 227 / 335,35.58,"{'0': ['set_cri', 'set_speed'], '1': ['set_penetrate', 'set_speed'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_cri', 'set_cri_dmg'], '4': ['set_cri_dmg']}","{'0': '35.56', '1': '36', '2': '27.78', '3': '33.33', '4': '50'}","['c5110', 'c1162', 'c2112']","['c5110', 'c1154', 'c1150']"
c2042,Ranking: 41 / 335,51.28,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_max_hp', 'set_shield'], '3': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '4': ['set_speed']}","{'0': '50.91', '1': '51.6', '2': '56', '3': '49.41', '4': '56.41'}","['c5110', 'c2112', 'c2011']","['c2112', 'c5110', 'c2011']"
c6062,Ranking: 128 / 335,44.19,"{'0': ['set_acc', 'set_speed'], '1': ['set_res', 'set_speed'], '2': ['set_max_hp', 'set_speed'], '3': ['set_speed'], '4': ['set_immune', 'set_speed']}","{'0': '43.86', '1': '46.96', '2': '44.36', '3': '44.4', '4': '45.45'}","['c5110', 'c2011', 'c2112']","['c2011', 'c5110', 'c1103']"
c3163,Ranking: 239 / 335,33.33,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1030,Ranking: 140 / 335,43.35,"{'0': ['set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_speed', 'set_torrent'], '3': ['set_counter', 'set_cri'], '4': ['set_counter', 'set_max_hp']}","{'0': '45.16', '1': '44.55', '2': '50', '3': '29.41', '4': '50'}","['c5110', 'c2125', 'c2011']","['c5009', 'c2112', 'c1150']"
c1097,Ranking: 226 / 335,35.71,"{'0': ['set_cri', 'set_speed'], '1': ['set_counter', 'set_penetrate'], '2': ['set_coop', 'set_speed'], '3': ['set_att', 'set_cri'], '4': ['set_speed']}","{'0': '27.78', '1': '50', '2': '66.67', '3': '0', '4': '0'}","['c1104', 'c2011', 'c1162']","['c2011', 'c4158', 'c2042']"
c3154,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1144,Ranking: 160 / 335,42.19,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_penetrate', 'set_speed'], '3': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '4': ['set_immune', 'set_speed']}","{'0': '40.51', '1': '46.69', '2': '50.85', '3': '42.54', '4': '45.26'}","['c5110', 'c2011', 'c2112']","['c5110', 'c2011', 'c2106']"
c1074,Ranking: 191 / 335,39.61,"{'0': ['set_penetrate', 'set_vampire'], '1': ['set_cri', 'set_vampire'], '2': ['set_max_hp', 'set_vampire'], '3': ['set_immune', 'set_vampire'], '4': ['set_vampire']}","{'0': '40.35', '1': '39.92', '2': '38.24', '3': '40.91', '4': '22.73'}","['c5110', 'c2011', 'c2112']","['c1162', 'c2074', 'c5110']"
c1088,Ranking: 286 / 335,22.45,"{'0': ['set_cri', 'set_speed'], '1': ['set_att', 'set_cri'], '2': ['set_penetrate', 'set_speed'], '3': ['set_speed'], '4': ['set_speed', 'set_torrent']}","{'0': '20.83', '1': '36.84', '2': '30', '3': '33.33', '4': '40'}","['c5110', 'c2112', 'c2128']","['c2011', 'c1103', 'c5110']"
c1043,,,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1011,Ranking: 305 / 335,11.76,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri', 'set_cri_dmg'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_acc', 'set_cri', 'set_cri'], '4': ['set_att', 'set_cri']}","{'0': '16.67', '1': '0', '2': '0', '3': '0', '4': '0'}",[],[]
c1062,Ranking: 237 / 335,33.78,"{'0': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '1': ['set_max_hp', 'set_speed'], '2': ['set_def', 'set_speed'], '3': ['set_def', 'set_max_hp', 'set_max_hp'], '4': ['set_max_hp']}","{'0': '41.38', '1': '34.78', '2': '100', '3': '25', '4': '100'}","['c5110', 'c2112', 'c1153']","['c5082', 'c1159', 'c1162']"
c3165,Ranking: 264 / 335,30,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1100,Ranking: 35 / 335,51.79,"{'0': ['set_penetrate', 'set_scar'], '1': ['set_penetrate', 'set_speed'], '2': ['set_max_hp', 'set_speed'], '3': ['set_cri_dmg', 'set_max_hp'], '4': ['set_max_hp', 'set_scar']}","{'0': '48.41', '1': '52.85', '2': '55.7', '3': '54.51', '4': '52.79'}","['c5110', 'c1104', 'c1153']","['c1162', 'c1104', 'c5110']"
c1129,Ranking: 117 / 335,44.85,"{'0': ['set_res', 'set_vampire'], '1': ['set_def', 'set_vampire'], '2': ['set_cri', 'set_vampire'], '3': ['set_vampire'], '4': ['set_immune', 'set_vampire']}","{'0': '45.97', '1': '39.24', '2': '46.36', '3': '45.54', '4': '56.14'}","['c5110', 'c2112', 'c1055']","['c5110', 'c1103', 'c2011']"
c2062,Ranking: 81 / 335,47.83,"{'0': ['set_res', 'set_speed'], '1': ['set_speed'], '2': ['set_immune', 'set_speed'], '3': ['set_max_hp', 'set_res', 'set_res'], '4': ['set_max_hp', 'set_speed']}","{'0': '47.67', '1': '46.43', '2': '44.79', '3': '53.68', '4': '46.97'}","['c2066', 'c5110', 'c2112']","['c5110', 'c2011', 'c2112']"
c1096,Ranking: 126 / 335,44.31,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri_dmg', 'set_penetrate'], '2': ['set_speed', 'set_torrent'], '3': ['set_cri', 'set_speed'], '4': ['set_speed']}","{'0': '45.9', '1': '36.87', '2': '47.14', '3': '31.93', '4': '53.62'}","['c5110', 'c2011', 'c2112']","['c1144', 'c2112', 'c1133']"
c1093,Ranking: 287 / 335,22.22,"{'0': ['set_cri', 'set_speed'], '1': ['set_cri', 'set_cri_dmg'], '2': ['set_penetrate', 'set_speed'], '3': ['set_cri', 'set_rage'], '4': ['set_acc', 'set_cri_dmg']}","{'0': '20', '1': '25', '2': '25', '3': '0', '4': '0'}",[],[]
c1135,Ranking: 102 / 335,46.01,"{'0': ['set_torrent', 'set_vampire'], '1': ['set_cri', 'set_vampire'], '2': ['set_penetrate', 'set_vampire'], '3': ['set_cri_dmg', 'set_torrent'], '4': ['set_cri', 'set_speed']}","{'0': '56.16', '1': '33.33', '2': '54.55', '3': '45.45', '4': '25'}","['c5110', 'c1162', 'c1104']","['c1133', 'c2112', 'c5004']"
c1112,Ranking: 89 / 335,47.09,"{'0': ['set_cri', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_cri', 'set_cri_dmg'], '3': ['set_res', 'set_speed'], '4': ['set_immune', 'set_speed']}","{'0': '48.55', '1': '43.9', '2': '46.67', '3': '50.11', '4': '53.1'}","['c2112', 'c2125', 'c5110']","['c1103', 'c5110', 'c2011']"
c2008,Ranking: 79 / 335,48.1,"{'0': ['set_immune', 'set_shield'], '1': ['set_max_hp', 'set_shield'], '2': ['set_max_hp', 'set_speed'], '3': ['set_immune', 'set_speed'], '4': ['set_res', 'set_speed']}","{'0': '50.31', '1': '48.09', '2': '46.38', '3': '44.72', '4': '48.61'}","['c5110', 'c2011', 'c2112']","['c5110', 'c2011', 'c2090']"
c2009,Ranking: 155 / 335,42.45,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri_dmg', 'set_penetrate'], '2': ['set_cri', 'set_immune', 'set_penetrate'], '3': ['set_cri_dmg', 'set_immune'], '4': ['set_cri', 'set_speed']}","{'0': '45.31', '1': '38.61', '2': '53.16', '3': '51.61', '4': '47.87'}","['c2128', 'c5110', 'c2011']","['c5110', 'c2112', 'c2106']"
c1036,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3024,Ranking: 55 / 335,50,"{'0': ['set_cri', 'set_speed'], '1': ['set_penetrate', 'set_speed'], '2': ['set_vampire'], '3': ['set_counter', 'set_penetrate'], '4': ['set_att', 'set_def']}","{'0': '100', '1': '100', '2': '100', '3': '0', '4': '0'}",[],[]
c4065,Ranking: 235 / 335,34.54,"{'0': ['set_cri', 'set_speed'], '1': ['set_penetrate', 'set_speed'], '2': ['set_acc', 'set_speed'], '3': ['set_speed'], '4': ['set_max_hp', 'set_speed']}","{'0': '45.33', '1': '25.4', '2': '37.14', '3': '50', '4': '60'}","['c5110', 'c2112', 'c2125']","['c2125', 'c4158', 'c4144']"
c6011,Ranking: 163 / 335,42.09,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_speed'], '3': ['set_speed', 'set_torrent'], '4': ['set_cri_dmg', 'set_penetrate']}","{'0': '43.68', '1': '38.84', '2': '39.36', '3': '40.18', '4': '21.43'}","['c5110', 'c2112', 'c2011']","['c5110', 'c1133', 'c2011']"
c2020,Ranking: 133 / 335,43.94,"{'0': ['set_cri', 'set_speed'], '1': ['set_speed', 'set_torrent'], '2': ['set_cri', 'set_cri_dmg'], '3': ['set_speed'], '4': ['set_att', 'set_cri']}","{'0': '43.9', '1': '53.59', '2': '32.43', '3': '40.91', '4': '46.15'}","['c5110', 'c1133', 'c2112']","['c2112', 'c1133', 'c1118']"
c3151,Ranking: 55 / 335,50,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2132,Ranking: 97 / 335,46.12,"{'0': ['set_acc', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_res', 'set_speed'], '3': ['set_speed'], '4': ['set_acc', 'set_counter']}","{'0': '47.95', '1': '47.18', '2': '42.44', '3': '50.3', '4': '48.41'}","['c2090', 'c1104', 'c5110']","['c5110', 'c2112', 'c2011']"
c3012,Ranking: 239 / 335,33.33,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1012,Ranking: 239 / 335,33.33,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1091,Ranking: 111 / 335,45.38,"{'0': ['set_res', 'set_speed'], '1': ['set_max_hp', 'set_speed'], '2': ['set_immune', 'set_speed'], '3': ['set_counter', 'set_res'], '4': ['set_speed']}","{'0': '46.2', '1': '42.69', '2': '48.48', '3': '45.03', '4': '38.27'}","['c5110', 'c1153', 'c2011']","['c5110', 'c2011', 'c1103']"
c2019,Ranking: 144 / 335,43.2,"{'0': ['set_counter', 'set_penetrate'], '1': ['set_penetrate', 'set_speed'], '2': ['set_counter', 'set_max_hp'], '3': ['set_cri_dmg', 'set_penetrate'], '4': ['set_counter', 'set_cri']}","{'0': '42.49', '1': '49.4', '2': '43.36', '3': '45.63', '4': '44.9'}","['c5110', 'c2011', 'c2112']","['c5110', 'c2011', 'c2125']"
c1111,Ranking: 65 / 335,49.7,"{'0': ['set_cri', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_cri', 'set_cri_dmg'], '3': ['set_speed', 'set_torrent'], '4': ['set_speed']}","{'0': '51.81', '1': '44.13', '2': '49.16', '3': '56.88', '4': '41.28'}","['c5110', 'c2011', 'c2112']","['c2066', 'c1118', 'c5110']"
c3093,Ranking: 239 / 335,33.33,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2086,Ranking: 292 / 335,18.75,"{'0': ['set_penetrate', 'set_res', 'set_torrent'], '1': ['set_att', 'set_torrent'], '2': ['set_acc', 'set_att'], '3': ['set_speed'], '4': ['set_penetrate', 'set_speed']}","{'0': '25', '1': '100', '2': '100', '3': '0', '4': '0'}",[],[]
c2082,Ranking: 43 / 335,51.27,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_speed'], '3': ['set_speed', 'set_torrent'], '4': ['set_acc', 'set_speed']}","{'0': '53.58', '1': '48.49', '2': '52.98', '3': '46.6', '4': '71.43'}","['c5110', 'c2011', 'c2112']","['c2011', 'c5110', 'c1133']"
c2007,Ranking: 48 / 335,50.77,"{'0': ['set_cri', 'set_speed'], '1': ['set_cri', 'set_cri_dmg'], '2': ['set_speed', 'set_torrent'], '3': ['set_cri_dmg', 'set_torrent'], '4': ['set_att', 'set_cri']}","{'0': '49.86', '1': '49.5', '2': '55.08', '3': '53.44', '4': '46.61'}","['c5110', 'c2112', 'c2011']","['c2011', 'c5110', 'c2112']"
c2095,Ranking: 33 / 335,51.86,"{'0': ['set_cri', 'set_speed'], '1': ['set_cri', 'set_cri_dmg'], '2': ['set_cri_dmg', 'set_immune'], '3': ['set_def', 'set_speed'], '4': ['set_cri_dmg', 'set_def']}","{'0': '51.15', '1': '54.66', '2': '57.7', '3': '50.04', '4': '52.24'}","['c5110', 'c1153', 'c2011']","['c5110', 'c2011', 'c2112']"
c3074,Ranking: 239 / 335,33.33,"{'0': ['set_cri', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_counter', 'set_max_hp'], '3': ['set_max_hp', 'set_revenge'], '4': ['set_acc', 'set_cri_dmg']}","{'0': '45.45', '1': '45.45', '2': '27.27', '3': '33.33', '4': '40'}","['c2066', 'c2112', 'c5110']","['c1160', 'c6011', 'c2128']"
c3053,Ranking: 288 / 335,21.43,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2003,Ranking: 265 / 335,29.73,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}","['c1104', 'c1103', 'c1153']","['c5046', 'c6020', 'c1162']"
c1055,Ranking: 36 / 335,51.73,"{'0': ['set_speed', 'set_torrent'], '1': ['set_cri_dmg', 'set_torrent'], '2': ['set_cri', 'set_speed'], '3': ['set_cri', 'set_cri_dmg'], '4': ['set_cri_dmg', 'set_penetrate']}","{'0': '54.39', '1': '51.78', '2': '50.3', '3': '48.24', '4': '47.4'}","['c5110', 'c2011', 'c2112']","['c2112', 'c5110', 'c2011']"
c1037,Ranking: 187 / 335,40,"{'0': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '1': ['set_res', 'set_res', 'set_res'], '2': ['set_max_hp', 'set_max_hp', 'set_res'], '3': ['set_acc', 'set_speed'], '4': ['set_res', 'set_speed']}","{'0': '50.89', '1': '33.33', '2': '32.26', '3': '36.36', '4': '40'}","['c5110', 'c2112', 'c2125']","['c1162', 'c1100', 'c1131']"
c3043,Ranking: 228 / 335,35.29,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1103,Ranking: 109 / 335,45.44,"{'0': ['set_cri_dmg', 'set_penetrate'], '1': ['set_penetrate', 'set_speed'], '2': ['set_cri', 'set_cri_dmg'], '3': ['set_att', 'set_penetrate'], '4': ['set_cri', 'set_speed']}","{'0': '45.77', '1': '49.28', '2': '38.92', '3': '45.15', '4': '41.18'}","['c2112', 'c5110', 'c2011']","['c5110', 'c2011', 'c1104']"
c4158,Ranking: 24 / 335,53.13,"{'0': ['set_counter', 'set_res'], '1': ['set_counter', 'set_torrent'], '2': ['set_counter', 'set_penetrate'], '3': ['set_counter'], '4': ['set_counter', 'set_immune']}","{'0': '53.16', '1': '56.11', '2': '54.02', '3': '51.21', '4': '54.88'}","['c5110', 'c2011', 'c2112']","['c5110', 'c2011', 'c2112']"
c1044,Ranking: 232 / 335,35,"{'0': ['set_acc', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_speed'], '3': ['set_counter', 'set_cri'], '4': ['set_max_hp', 'set_speed']}","{'0': '50', '1': '28', '2': '27.27', '3': '0', '4': '0'}","['c5110', 'c2112', 'c2011']","['c5110', 'c1162', 'c1133']"
c1118,Ranking: 110 / 335,45.43,"{'0': ['set_cri', 'set_speed'], '1': ['set_speed'], '2': ['set_acc', 'set_speed'], '3': ['set_penetrate', 'set_speed'], '4': ['set_immune', 'set_speed']}","{'0': '45.07', '1': '46.4', '2': '45.27', '3': '44.82', '4': '43.01'}","['c5110', 'c2112', 'c2011']","['c1133', 'c5110', 'c2011']"
c4042,Ranking: 274 / 335,26.23,"{'0': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '1': ['set_res', 'set_revenge'], '2': ['set_max_hp', 'set_revenge'], '3': ['set_res', 'set_speed'], '4': ['set_res']}","{'0': '35.29', '1': '33.33', '2': '25', '3': '16.67', '4': '50'}","['c1104', 'c2066', 'c2011']","['c2165', 'c4144', 'c1129']"
c2036,Ranking: 182 / 335,40.41,"{'0': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '1': ['set_max_hp', 'set_speed'], '2': ['set_res', 'set_speed'], '3': ['set_max_hp', 'set_shield'], '4': ['set_def', 'set_speed']}","{'0': '43.1', '1': '35.59', '2': '51.52', '3': '37.21', '4': '50'}","['c5110', 'c2112', 'c2011']","['c1171', 'c5110', 'c2128']"
c3032,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2106,Ranking: 20 / 335,54.05,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '2': ['set_counter', 'set_max_hp'], '3': ['set_immune', 'set_speed'], '4': ['set_immune', 'set_max_hp', 'set_max_hp']}","{'0': '54.5', '1': '52.09', '2': '54.72', '3': '63.54', '4': '57.45'}","['c5110', 'c2112', 'c2011']","['c5110', 'c2011', 'c2112']"
c2010,Ranking: 252 / 335,32.38,"{'0': ['set_cri', 'set_vampire'], '1': ['set_counter', 'set_max_hp'], '2': ['set_max_hp', 'set_scar'], '3': ['set_max_hp', 'set_vampire'], '4': ['set_vampire']}","{'0': '30.72', '1': '25.33', '2': '60', '3': '40.74', '4': '44.44'}","['c2011', 'c5110', 'c1133']","['c2112', 'c2011', 'c5110']"
c1016,Ranking: 88 / 335,47.26,"{'0': ['set_penetrate', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_cri_dmg', 'set_penetrate'], '3': ['set_att', 'set_cri'], '4': ['set_speed', 'set_torrent']}","{'0': '47.89', '1': '50.1', '2': '53.33', '3': '39.74', '4': '55.81'}","['c5110', 'c2112', 'c2011']","['c1133', 'c5110', 'c1142']"
c3133,Ranking: 277 / 335,25.81,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}","['c1103', 'c1055', 'c5110']","['c3064', 'c4158', 'c4052']"
c1099,Ranking: 116 / 335,44.88,"{'0': ['set_acc', 'set_speed'], '1': ['set_speed'], '2': ['set_cri', 'set_speed'], '3': ['set_max_hp', 'set_speed'], '4': ['set_immune', 'set_speed']}","{'0': '41.31', '1': '52.51', '2': '50', '3': '32', '4': '28.57'}","['c5110', 'c2011', 'c2112']","['c1050', 'c1070', 'c5110']"
c3033,Ranking: 278 / 335,25,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c4012,Ranking: 300 / 335,14.29,"{'0': ['set_cri', 'set_cri_dmg'], '1': ['set_cri_dmg', 'set_torrent'], '2': ['set_penetrate', 'set_speed'], '3': ['set_cri', 'set_speed'], '4': ['set_cri_dmg', 'set_penetrate']}","{'0': '25', '1': '100', '2': '0', '3': '0', '4': '0'}",[],[]
c3152,Ranking: 205 / 335,37.5,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1150,Ranking: 29 / 335,52.57,"{'0': ['set_acc', 'set_speed'], '1': ['set_cri', 'set_speed'], '2': ['set_speed'], '3': ['set_immune', 'set_speed'], '4': ['set_penetrate', 'set_speed']}","{'0': '51.84', '1': '52.36', '2': '54.22', '3': '56.09', '4': '53.18'}","['c2011', 'c5110', 'c2112']","['c5110', 'c2112', 'c2011']"
c3072,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3034,,,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1053,Ranking: 107 / 335,45.45,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2073,Ranking: 105 / 335,45.75,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_immune', 'set_speed'], '2': ['set_res', 'set_speed'], '3': ['set_speed'], '4': ['set_penetrate', 'set_speed']}","{'0': '44.97', '1': '46.51', '2': '43.52', '3': '45.64', '4': '48.74'}","['c5110', 'c2066', 'c2112']","['c5110', 'c2011', 'c1055']"
c1105,Ranking: 205 / 335,37.5,"{'0': ['set_cri', 'set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_speed'], '3': ['set_penetrate', 'set_speed'], '4': ['set_immune', 'set_max_hp', 'set_penetrate']}","{'0': '43.33', '1': '36.36', '2': '66.67', '3': '50', '4': '33.33'}","['c2112', 'c1104', 'c5110']","['c1055', 'c1133', 'c2066']"
c1087,Ranking: 306 / 335,11.11,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1069,Ranking: 220 / 335,36.2,"{'0': ['set_cri_dmg', 'set_res'], '1': ['set_cri', 'set_speed'], '2': ['set_penetrate', 'set_speed'], '3': ['set_cri', 'set_cri_dmg'], '4': ['set_speed', 'set_torrent']}","{'0': '33.05', '1': '53.66', '2': '31.25', '3': '36.36', '4': '57.14'}","['c2011', 'c2112', 'c5110']","['c2021', 'c2049', 'c4123']"
c1145,Ranking: 222 / 335,35.91,"{'0': ['set_max_hp', 'set_max_hp', 'set_max_hp'], '1': ['set_counter', 'set_max_hp'], '2': ['set_penetrate', 'set_speed'], '3': ['set_max_hp', 'set_speed'], '4': ['set_counter', 'set_penetrate']}","{'0': '38.87', '1': '32.81', '2': '59.26', '3': '31.65', '4': '34.04'}","['c5110', 'c2011', 'c2112']","['c5110', 'c2011', 'c1103']"
c1067,Ranking: 281 / 335,24.19,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_max_hp'], '2': ['set_res', 'set_speed'], '3': ['set_acc', 'set_speed'], '4': ['set_penetrate', 'set_speed']}","{'0': '25.93', '1': '33.33', '2': '50', '3': '14.29', '4': '25'}","['c5110', 'c2011', 'c2112']","['c5110', 'c2011', 'c2090']"
c3022,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1028,Ranking: 268 / 335,29.41,"{'0': ['set_att', 'set_cri'], '1': ['set_cri_dmg', 'set_torrent'], '2': ['set_coop', 'set_speed'], '3': ['set_cri', 'set_cri_dmg'], '4': ['set_acc', 'set_speed']}","{'0': '25', '1': '50', '2': '0', '3': '0', '4': '0'}",[],[]
c3061,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1081,Ranking: 123 / 335,44.47,"{'0': ['set_speed'], '1': ['set_acc', 'set_speed'], '2': ['set_cri', 'set_speed'], '3': ['set_penetrate', 'set_speed'], '4': ['set_immune', 'set_speed']}","{'0': '47.39', '1': '40', '2': '44.9', '3': '20', '4': '0'}","['c2011', 'c2112', 'c1104']","['c5046', 'c1038', 'c1133']"
c3073,,,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1123,Ranking: 174 / 335,40.93,"{'0': ['set_res', 'set_speed'], '1': ['set_counter', 'set_res'], '2': ['set_max_hp', 'set_max_hp', 'set_res'], '3': ['set_max_hp', 'set_speed'], '4': ['set_counter']}","{'0': '47.62', '1': '44', '2': '47.83', '3': '27.03', '4': '38.89'}","['c5110', 'c2112', 'c1104']","['c1019', 'c1137', 'c5001']"
c3095,Ranking: 200 / 335,38.46,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3044,,,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1071,Ranking: 282 / 335,24.1,"{'0': ['set_cri', 'set_speed'], '1': ['set_speed'], '2': ['set_acc', 'set_speed'], '3': ['set_immune', 'set_speed'], '4': ['set_acc', 'set_att']}","{'0': '20.45', '1': '37.5', '2': '66.67', '3': '25', '4': '25'}","['c5110', 'c2066', 'c2125']","['c1103', 'c2011', 'c1161']"
