Hero,Rank,Win Rate,Equipment,Equipment Win Rate,Counters,Synergies
c2165,Ranking: 171 / 335,41,"{'0': ['set_penetrate', 'set_vampire'], '1': ['set_cri', 'set_vampire'], '2': ['set_penetrate', 'set_speed'], '3': ['set_cri_dmg', 'set_penetrate'], '4': ['set_torrent', 'set_vampire']}","{'0': '42.17', '1': '46.55', '2': '35.09', '3': '37.61', '4': '52.46'}","['c5110', 'c2011', 'c2112']","['c2125', 'c2128', 'c2089']"
c1029,Ranking: 5 / 335,66.67,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c1040,Ranking: 300 / 335,14.29,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}","['c1162', 'c1133', 'c2128']","['c5110', 'c1133', 'c1104']"
c1117,Ranking: 47 / 335,50.9,"{'0': ['set_max_hp', 'set_speed'], '1': ['set_counter', 'set_immune'], '2': ['set_counter', 'set_max_hp'], '3': ['set_immune', 'set_scar'], '4': ['set_counter', 'set_cri']}","{'0': '58.29', '1': '49.68', '2': '49.33', '3': '49.44', '4': '45.21'}","['c2066', 'c5110', 'c1133']","['c5110', 'c2112', 'c2011']"
c1148,Ranking: 122 / 335,44.5,"{'0': ['set_res', 'set_speed'], '1': ['set_counter', 'set_res'], '2': ['set_res', 'set_res', 'set_res'], '3': ['set_speed'], '4': ['set_max_hp', 'set_speed']}","{'0': '45.36', '1': '43.86', '2': '47.25', '3': '41.49', '4': '43.5'}","['c1162', 'c1104', 'c5110']","['c5110', 'c1153', 'c1104']"
c3084,Ranking: 303 / 335,13.64,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c3001,Ranking: 310 / 335,0,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
c2088,Ranking: 72 / 335,48.46,"{'0': ['set_cri', 'set_vampire'], '1': ['set_penetrate', 'set_vampire'], '2': ['set_torrent', 'set_vampire'], '3': ['set_cri', 'set_speed'], '4': ['set_cri', 'set_cri_dmg']}","{'0': '47.61', '1': '54.93', '2': '48.89', '3': '49.19', '4': '49.68'}","['c5110', 'c2066', 'c2011']","['c5110', 'c2128', 'c2112']"
c1137,Ranking: 31 / 335,51.99,"{'0': ['set_def', 'set_speed'], '1': ['set_counter', 'set_def'], '2': ['set_counter', 'set_res'], '3': ['set_res', 'set_speed'], '4': ['set_counter', 'set_immune']}","{'0': '52.83', '1': '50.26', '2': '58.45', '3': '58.02', '4': '62.32'}","['c5110', 'c2112', 'c2011']","['c5110', 'c2112', 'c2011']"
c3025,Ranking: 55 / 335,50,"{'0': [], '1': [], '2': [], '3': [], '4': []}","{'0': -1, '1': -1, '2': -1, '3': -1, '4': -1}",[],[]
