Hero,Winrate,Pick Rate,Counter1,Counter1_Wins,Counter2,Counter2_Wins,Counter3,Counter3_Wins,Pick1,Pick1_Count,Pick2,Pick2_Count,Pick3,Pick3_Count,CounteredBy1,CounteredBy1_Count,CounteredBy2,CounteredBy2_Count,CounteredBy3,CounteredBy3_Count
c2085,0.6666666666666666,0.0015957446808510637,c1153,13,c1162,12,c1104,7,c2113,12,c2074,8,c2070,5,c1162,5,c1104,4,c2090,3
c1103,0.5701219512195121,0.1046808510638298,c2125,455,c2090,406,c2112,222,c2113,308,c2090,245,c2066,242,c2090,485,c2125,464,c1159,278
c2126,0.6160388821385177,0.0875531914893617,c2125,262,c2090,237,c2113,197,c5110,243,c2113,229,c2090,211,c2113,208,c2125,203,c2090,194
c1129,0.6166666666666667,0.01276595744680851,c1055,54,c2113,47,c2090,37,c1162,48,c2090,43,c1156,30,c2113,55,c1055,46,c2090,31
c1019,0.4818181818181818,0.011702127659574468,c1162,68,c2113,39,c1153,37,c2113,38,c2090,38,c1153,35,c1162,92,c2090,58,c2113,53
c2024,0.64,0.0425531914893617,c2125,132,c5110,116,c2039,108,c2011,183,c1150,151,c2128,129,c2125,162,c2039,155,c5110,145
c1170,0.5517241379310345,0.012340425531914894,c2090,53,c2113,48,c2101,43,c1162,38,c1060,36,c2113,34,c2113,58,c2090,50,c2101,42
c1161,0.5060975609756098,0.017446808510638297,c2113,103,c1060,79,c1153,46,c2090,102,c1162,93,c1153,43,c2113,80,c1060,52,c1055,45
c5046,0.6306306306306306,0.011808510638297872,c2112,40,c5110,33,c2125,32,c1133,61,c2125,42,c5110,34,c2125,39,c5110,39,c2039,33
c2007,0.5944055944055944,0.015212765957446809,c5110,51,c2090,40,c1103,36,c2125,69,c2066,39,c2011,35,c5110,57,c2090,52,c2113,51
c2027,0.5708333333333333,0.02553191489361702,c2113,80,c2090,78,c5110,62,c2125,190,c2090,50,c2074,50,c2113,100,c2090,98,c5110,76
c2012,0.2857142857142857,0.0007446808510638298,c2039,5,c2125,4,c2090,3,c5110,3,c2011,3,c2090,2,c2125,2,c2090,2,c6017,2
c2080,0.3333333333333333,0.001276595744680851,c2112,5,c2125,4,c1117,4,c2066,8,c1150,6,c1125,4,c2125,11,c2128,11,c2090,5
c1148,0.47619047619047616,0.004468085106382979,c1162,24,c2113,14,c5110,14,c2090,21,c2128,18,c2125,14,c1162,55,c2090,23,c1156,21
c2132,0.6390977443609023,0.014148936170212767,c2090,107,c2113,41,c2039,31,c2011,74,c2125,67,c2066,48,c2090,111,c2113,57,c1159,36
c1142,0.6084656084656085,0.060319148936170214,c5110,305,c2125,143,c2090,140,c2125,233,c1150,207,c2128,153,c5110,347,c2090,195,c1156,179
c2082,0.6462585034013606,0.015638297872340425,c2039,55,c2113,43,c1117,39,c2011,98,c1150,90,c5110,56,c2113,46,c2039,41,c2090,35
c1117,0.6098535286284953,0.07989361702127659,c2066,299,c2125,227,c2011,188,c2113,233,c2090,220,c2039,177,c2066,214,c2011,148,c2125,135
c2050,0.4666666666666667,0.0015957446808510637,c2128,8,c2125,5,c2101,4,c2113,6,c2066,6,c2090,4,c2125,14,c2113,13,c2128,13
c5082,0.5,0.004468085106382979,c2125,22,c2066,16,c2128,14,c2090,21,c2113,18,c1159,15,c2066,13,c2011,13,c2125,11
c1034,0.5625,0.001702127659574468,c1162,10,c2090,10,c5110,5,c2011,8,c2113,5,c2090,4,c2090,18,c1162,17,c1156,14
c1016,0.4838709677419355,0.003297872340425532,c2090,14,c1159,13,c1153,9,c2066,20,c1133,15,c2128,15,c2090,18,c1156,18,c2039,15
c1157,0.5416666666666666,0.005106382978723404,c2074,19,c2090,18,c5110,17,c1162,16,c2090,15,c2128,15,c5110,34,c2090,31,c1162,25
c2019,0.5,0.001702127659574468,c1060,7,c2128,5,c1055,5,c2090,11,c1153,9,c2125,5,c2066,11,c2113,10,c1162,8
c2009,0.5,0.001276595744680851,c2128,4,c2125,4,c2095,4,c2039,7,c1153,5,c2090,4,c2113,8,c2125,7,c2090,7
c2069,0.5889830508474576,0.025106382978723404,c2125,85,c1117,84,c2090,66,c1133,106,c2066,98,c5110,71,c2125,103,c1117,88,c2090,79
c4158,0.5844845908607864,0.1001063829787234,c2125,334,c5110,304,c2011,273,c2113,221,c5110,214,c2125,190,c2125,308,c5110,287,c2011,262
c1014,0.5434782608695652,0.014680851063829787,c2004,58,c5110,50,c1150,40,c1150,61,c2125,54,c2004,36,c5110,73,c2125,64,c1150,64
