Match Number,Pick Order,Match Result,Team,Hero,First Pick
16,5,Loss,Enemy Team,c1118,1
16,8,Loss,Enemy Team,c1020,1
16,9,Loss,Enemy Team,c1130,1
17,2,Win,My Team,c5110,0
17,3,Win,My Team,c2112,0
17,6,Win,My Team,c2042,0
17,7,Win,My Team,c2095,0
17,10,Win,My Team,c1151,0
17,1,Loss,Enemy Team,c2113,1
17,4,Loss,Enemy Team,c2089,1
17,5,Loss,Enemy Team,c1103,1
17,8,Loss,Enemy Team,c2079,1
17,9,Loss,Enemy Team,c2111,1
18,2,Win,My Team,c5110,0
18,3,Win,My Team,c2070,0
18,6,Win,My Team,c2089,0
18,7,Win,My Team,c4158,0
18,10,Win,My Team,c1111,0
18,1,Loss,Enemy Team,c2113,1
18,4,Loss,Enemy Team,c2095,1
18,5,Loss,Enemy Team,c2111,1
18,8,Loss,Enemy Team,c1159,1
18,9,Loss,Enemy Team,c1055,1
19,1,Win,My Team,c2066,1
19,4,Win,My Team,c2112,1
19,5,Win,My Team,c2042,1
19,8,Win,My Team,c1055,1
19,9,Win,My Team,c5089,1
19,2,Loss,Enemy Team,c1117,0
19,3,Loss,Enemy Team,c2113,0
19,6,Loss,Enemy Team,c1159,0
19,7,Loss,Enemy Team,c2011,0
19,10,Loss,Enemy Team,c1112,0
20,1,Loss,My Team,c2042,1
20,4,Loss,My Team,c1104,1
20,5,Loss,My Team,c1153,1
20,8,Loss,My Team,c1151,1
20,9,Loss,My Team,c1129,1
20,2,Win,Enemy Team,c2106,0
20,3,Win,Enemy Team,c2011,0
20,6,Win,Enemy Team,c2073,0
20,7,Win,Enemy Team,c2095,0
20,10,Win,Enemy Team,c2070,0
21,1,Win,My Team,c2066,1
21,4,Win,My Team,c2112,1
21,5,Win,My Team,c1055,1
21,8,Win,My Team,c2048,1
21,9,Win,My Team,c2102,1
21,2,Loss,Enemy Team,c2042,0
21,3,Loss,Enemy Team,c2070,0
21,6,Loss,Enemy Team,c2039,0
21,7,Loss,Enemy Team,c1022,0
21,10,Loss,Enemy Team,c6062,0
22,2,Win,My Team,c1153,0
22,3,Win,My Team,c2066,0
22,6,Win,My Team,c2106,0
